Geography,Geography code,Week,CauseOfDeath,PlaceOfDeath,RegistrationOrOccurrence,death2020
Barking and Dagenham,E09000002,Week 2,COVID 19,Other communal establishment,Occurrences,0
Barking and Dagenham,E09000002,Week 2,COVID 19,Other communal establishment,Registrations,0
Barking and Dagenham,E09000002,Week 20,COVID 19,Care home,Occurrences,0
Barking and Dagenham,E09000002,Week 20,COVID 19,Care home,Registrations,1
Barking and Dagenham,E09000002,Week 20,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 20,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 20,COVID 19,Home,Occurrences,0
Barking and Dagenham,E09000002,Week 20,COVID 19,Home,Registrations,2
Barking and Dagenham,E09000002,Week 20,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 20,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 20,COVID 19,Hospital,Occurrences,2
Barking and Dagenham,E09000002,Week 20,COVID 19,Hospital,Registrations,5
Barking and Dagenham,E09000002,Week 20,COVID 19,Other communal establishment,Occurrences,0
Barking and Dagenham,E09000002,Week 20,COVID 19,Other communal establishment,Registrations,0
Barking and Dagenham,E09000002,Week 21,COVID 19,Care home,Occurrences,0
Barking and Dagenham,E09000002,Week 21,COVID 19,Care home,Registrations,0
Barking and Dagenham,E09000002,Week 21,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 21,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 21,COVID 19,Home,Occurrences,0
Barking and Dagenham,E09000002,Week 21,COVID 19,Home,Registrations,0
Barking and Dagenham,E09000002,Week 21,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 21,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 21,COVID 19,Hospital,Occurrences,2
Barking and Dagenham,E09000002,Week 21,COVID 19,Hospital,Registrations,1
Barking and Dagenham,E09000002,Week 21,COVID 19,Other communal establishment,Occurrences,0
Barking and Dagenham,E09000002,Week 21,COVID 19,Other communal establishment,Registrations,0
Barking and Dagenham,E09000002,Week 22,COVID 19,Care home,Occurrences,1
Barking and Dagenham,E09000002,Week 22,COVID 19,Care home,Registrations,0
Barking and Dagenham,E09000002,Week 22,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 22,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 22,COVID 19,Home,Occurrences,1
Barking and Dagenham,E09000002,Week 22,COVID 19,Home,Registrations,1
Barking and Dagenham,E09000002,Week 22,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 22,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 22,COVID 19,Hospital,Occurrences,1
Barking and Dagenham,E09000002,Week 22,COVID 19,Hospital,Registrations,2
Barking and Dagenham,E09000002,Week 22,COVID 19,Other communal establishment,Occurrences,0
Barking and Dagenham,E09000002,Week 22,COVID 19,Other communal establishment,Registrations,0
Barking and Dagenham,E09000002,Week 23,COVID 19,Care home,Occurrences,0
Barking and Dagenham,E09000002,Week 23,COVID 19,Care home,Registrations,1
Barking and Dagenham,E09000002,Week 23,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 23,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 23,COVID 19,Home,Occurrences,0
Barking and Dagenham,E09000002,Week 23,COVID 19,Home,Registrations,0
Barking and Dagenham,E09000002,Week 23,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 23,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 23,COVID 19,Hospital,Occurrences,0
Barking and Dagenham,E09000002,Week 23,COVID 19,Hospital,Registrations,0
Barking and Dagenham,E09000002,Week 23,COVID 19,Other communal establishment,Occurrences,0
Barking and Dagenham,E09000002,Week 23,COVID 19,Other communal establishment,Registrations,0
Barking and Dagenham,E09000002,Week 24,COVID 19,Care home,Occurrences,1
Barking and Dagenham,E09000002,Week 24,COVID 19,Care home,Registrations,1
Barking and Dagenham,E09000002,Week 24,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 24,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 24,COVID 19,Home,Occurrences,0
Barking and Dagenham,E09000002,Week 24,COVID 19,Home,Registrations,0
Barking and Dagenham,E09000002,Week 24,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 24,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 24,COVID 19,Hospital,Occurrences,1
Barking and Dagenham,E09000002,Week 24,COVID 19,Hospital,Registrations,0
Barking and Dagenham,E09000002,Week 24,COVID 19,Other communal establishment,Occurrences,0
Barking and Dagenham,E09000002,Week 24,COVID 19,Other communal establishment,Registrations,0
Barking and Dagenham,E09000002,Week 25,COVID 19,Care home,Occurrences,0
Barking and Dagenham,E09000002,Week 25,COVID 19,Care home,Registrations,0
Barking and Dagenham,E09000002,Week 25,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 25,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 25,COVID 19,Home,Occurrences,1
Barking and Dagenham,E09000002,Week 25,COVID 19,Home,Registrations,1
Barking and Dagenham,E09000002,Week 25,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 25,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 25,COVID 19,Hospital,Occurrences,0
Barking and Dagenham,E09000002,Week 25,COVID 19,Hospital,Registrations,1
Barking and Dagenham,E09000002,Week 25,COVID 19,Other communal establishment,Occurrences,0
Barking and Dagenham,E09000002,Week 25,COVID 19,Other communal establishment,Registrations,0
Barking and Dagenham,E09000002,Week 26,COVID 19,Care home,Occurrences,1
Barking and Dagenham,E09000002,Week 26,COVID 19,Care home,Registrations,0
Barking and Dagenham,E09000002,Week 26,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 26,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 26,COVID 19,Home,Occurrences,0
Barking and Dagenham,E09000002,Week 26,COVID 19,Home,Registrations,0
Barking and Dagenham,E09000002,Week 26,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 26,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 26,COVID 19,Hospital,Occurrences,0
Barking and Dagenham,E09000002,Week 26,COVID 19,Hospital,Registrations,0
Barking and Dagenham,E09000002,Week 26,COVID 19,Other communal establishment,Occurrences,0
Barking and Dagenham,E09000002,Week 26,COVID 19,Other communal establishment,Registrations,0
Barking and Dagenham,E09000002,Week 27,COVID 19,Care home,Occurrences,0
Barking and Dagenham,E09000002,Week 27,COVID 19,Care home,Registrations,1
Barking and Dagenham,E09000002,Week 27,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 27,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 27,COVID 19,Home,Occurrences,0
Barking and Dagenham,E09000002,Week 27,COVID 19,Home,Registrations,0
Barking and Dagenham,E09000002,Week 27,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 27,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 27,COVID 19,Hospital,Occurrences,0
Barking and Dagenham,E09000002,Week 27,COVID 19,Hospital,Registrations,0
Barking and Dagenham,E09000002,Week 27,COVID 19,Other communal establishment,Occurrences,0
Barking and Dagenham,E09000002,Week 27,COVID 19,Other communal establishment,Registrations,0
Barking and Dagenham,E09000002,Week 28,COVID 19,Care home,Occurrences,0
Barking and Dagenham,E09000002,Week 28,COVID 19,Care home,Registrations,0
Barking and Dagenham,E09000002,Week 28,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 28,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 28,COVID 19,Home,Occurrences,0
Barking and Dagenham,E09000002,Week 28,COVID 19,Home,Registrations,0
Barking and Dagenham,E09000002,Week 28,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 28,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 28,COVID 19,Hospital,Occurrences,0
Barking and Dagenham,E09000002,Week 28,COVID 19,Hospital,Registrations,0
Barking and Dagenham,E09000002,Week 28,COVID 19,Other communal establishment,Occurrences,0
Barking and Dagenham,E09000002,Week 28,COVID 19,Other communal establishment,Registrations,0
Barking and Dagenham,E09000002,Week 29,COVID 19,Care home,Occurrences,0
Barking and Dagenham,E09000002,Week 29,COVID 19,Care home,Registrations,0
Barking and Dagenham,E09000002,Week 29,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 29,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 29,COVID 19,Home,Occurrences,1
Barking and Dagenham,E09000002,Week 29,COVID 19,Home,Registrations,0
Barking and Dagenham,E09000002,Week 29,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 29,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 29,COVID 19,Hospital,Occurrences,0
Barking and Dagenham,E09000002,Week 29,COVID 19,Hospital,Registrations,0
Barking and Dagenham,E09000002,Week 29,COVID 19,Other communal establishment,Occurrences,0
Barking and Dagenham,E09000002,Week 29,COVID 19,Other communal establishment,Registrations,0
Barking and Dagenham,E09000002,Week 3,COVID 19,Care home,Occurrences,0
Barking and Dagenham,E09000002,Week 3,COVID 19,Care home,Registrations,0
Barking and Dagenham,E09000002,Week 3,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 3,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 3,COVID 19,Home,Occurrences,0
Barking and Dagenham,E09000002,Week 3,COVID 19,Home,Registrations,0
Barking and Dagenham,E09000002,Week 3,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 3,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 3,COVID 19,Hospital,Occurrences,0
Barking and Dagenham,E09000002,Week 3,COVID 19,Hospital,Registrations,0
Barking and Dagenham,E09000002,Week 3,COVID 19,Other communal establishment,Occurrences,0
Barking and Dagenham,E09000002,Week 3,COVID 19,Other communal establishment,Registrations,0
Barking and Dagenham,E09000002,Week 30,COVID 19,Care home,Occurrences,0
Barking and Dagenham,E09000002,Week 30,COVID 19,Care home,Registrations,0
Barking and Dagenham,E09000002,Week 30,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 30,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 30,COVID 19,Home,Occurrences,0
Barking and Dagenham,E09000002,Week 30,COVID 19,Home,Registrations,1
Barking and Dagenham,E09000002,Week 30,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 30,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 30,COVID 19,Hospital,Occurrences,0
Barking and Dagenham,E09000002,Week 30,COVID 19,Hospital,Registrations,0
Barking and Dagenham,E09000002,Week 30,COVID 19,Other communal establishment,Occurrences,0
Barking and Dagenham,E09000002,Week 30,COVID 19,Other communal establishment,Registrations,0
Barking and Dagenham,E09000002,Week 31,COVID 19,Care home,Occurrences,0
Barking and Dagenham,E09000002,Week 31,COVID 19,Care home,Registrations,0
Barking and Dagenham,E09000002,Week 31,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 31,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 31,COVID 19,Home,Occurrences,0
Barking and Dagenham,E09000002,Week 31,COVID 19,Home,Registrations,0
Barking and Dagenham,E09000002,Week 31,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 31,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 31,COVID 19,Hospital,Occurrences,0
Barking and Dagenham,E09000002,Week 31,COVID 19,Hospital,Registrations,0
Barking and Dagenham,E09000002,Week 31,COVID 19,Other communal establishment,Occurrences,0
Barking and Dagenham,E09000002,Week 31,COVID 19,Other communal establishment,Registrations,0
Barking and Dagenham,E09000002,Week 32,COVID 19,Care home,Occurrences,0
Barking and Dagenham,E09000002,Week 32,COVID 19,Care home,Registrations,0
Barking and Dagenham,E09000002,Week 32,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 32,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 32,COVID 19,Home,Occurrences,0
Barking and Dagenham,E09000002,Week 32,COVID 19,Home,Registrations,0
Barking and Dagenham,E09000002,Week 32,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 32,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 32,COVID 19,Hospital,Occurrences,0
Barking and Dagenham,E09000002,Week 32,COVID 19,Hospital,Registrations,0
Barking and Dagenham,E09000002,Week 32,COVID 19,Other communal establishment,Occurrences,0
Barking and Dagenham,E09000002,Week 32,COVID 19,Other communal establishment,Registrations,0
Barking and Dagenham,E09000002,Week 33,COVID 19,Care home,Occurrences,0
Barking and Dagenham,E09000002,Week 33,COVID 19,Care home,Registrations,0
Barking and Dagenham,E09000002,Week 33,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 33,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 33,COVID 19,Home,Occurrences,0
Barking and Dagenham,E09000002,Week 33,COVID 19,Home,Registrations,0
Barking and Dagenham,E09000002,Week 33,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 33,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 33,COVID 19,Hospital,Occurrences,0
Barking and Dagenham,E09000002,Week 33,COVID 19,Hospital,Registrations,0
Barking and Dagenham,E09000002,Week 33,COVID 19,Other communal establishment,Occurrences,0
Barking and Dagenham,E09000002,Week 33,COVID 19,Other communal establishment,Registrations,0
Barking and Dagenham,E09000002,Week 34,COVID 19,Care home,Occurrences,0
Barking and Dagenham,E09000002,Week 34,COVID 19,Care home,Registrations,0
Barking and Dagenham,E09000002,Week 34,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 34,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 34,COVID 19,Home,Occurrences,0
Barking and Dagenham,E09000002,Week 34,COVID 19,Home,Registrations,0
Barking and Dagenham,E09000002,Week 34,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 34,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 34,COVID 19,Hospital,Occurrences,0
Barking and Dagenham,E09000002,Week 34,COVID 19,Hospital,Registrations,0
Barking and Dagenham,E09000002,Week 34,COVID 19,Other communal establishment,Occurrences,0
Barking and Dagenham,E09000002,Week 34,COVID 19,Other communal establishment,Registrations,0
Barking and Dagenham,E09000002,Week 35,COVID 19,Care home,Occurrences,0
Barking and Dagenham,E09000002,Week 35,COVID 19,Care home,Registrations,0
Barking and Dagenham,E09000002,Week 35,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 35,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 35,COVID 19,Home,Occurrences,0
Barking and Dagenham,E09000002,Week 35,COVID 19,Home,Registrations,0
Barking and Dagenham,E09000002,Week 35,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 35,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 35,COVID 19,Hospital,Occurrences,0
Barking and Dagenham,E09000002,Week 35,COVID 19,Hospital,Registrations,0
Barking and Dagenham,E09000002,Week 35,COVID 19,Other communal establishment,Occurrences,0
Barking and Dagenham,E09000002,Week 35,COVID 19,Other communal establishment,Registrations,0
Barking and Dagenham,E09000002,Week 36,COVID 19,Care home,Occurrences,0
Barking and Dagenham,E09000002,Week 36,COVID 19,Care home,Registrations,0
Barking and Dagenham,E09000002,Week 36,COVID 19,Elsewhere,Occurrences,0
Barking and Dagenham,E09000002,Week 36,COVID 19,Elsewhere,Registrations,0
Barking and Dagenham,E09000002,Week 36,COVID 19,Home,Occurrences,0
Barking and Dagenham,E09000002,Week 36,COVID 19,Home,Registrations,0
Barking and Dagenham,E09000002,Week 36,COVID 19,Hospice,Occurrences,0
Barking and Dagenham,E09000002,Week 36,COVID 19,Hospice,Registrations,0
Barking and Dagenham,E09000002,Week 36,COVID 19,Hospital,Occurrences,0
Barking and Dagenham,E09000002,Week 36,COVID 19,Hospital,Registrations,0
